id,date,family,sales,onpromotion
24,2013-01-01,MEATS,0.0,0.0
25,2013-01-01,PERSONAL CARE,0.0,0.0
1806,2013-01-02,MEATS,369.101,0.0
1807,2013-01-02,PERSONAL CARE,194.0,0.0
3588,2013-01-03,MEATS,272.319,0.0
3589,2013-01-03,PERSONAL CARE,153.0,0.0
5370,2013-01-04,MEATS,454.172,0.0
5371,2013-01-04,PERSONAL CARE,88.0,0.0
7152,2013-01-05,MEATS,328.94,0.0
7153,2013-01-05,PERSONAL CARE,141.0,0.0
8934,2013-01-06,MEATS,113.282,0.0
8935,2013-01-06,PERSONAL CARE,49.0,0.0
10716,2013-01-07,MEATS,266.72,0.0
10717,2013-01-07,PERSONAL CARE,154.0,0.0
12498,2013-01-08,MEATS,393.51,0.0
12499,2013-01-08,PERSONAL CARE,119.0,0.0
14280,2013-01-09,MEATS,390.15298,0.0
14281,2013-01-09,PERSONAL CARE,190.0,0.0
16062,2013-01-10,MEATS,246.035,0.0
16063,2013-01-10,PERSONAL CARE,110.0,0.0
17844,2013-01-11,MEATS,458.241,0.0
17845,2013-01-11,PERSONAL CARE,81.0,0.0
19626,2013-01-12,MEATS,260.07098,0.0
19627,2013-01-12,PERSONAL CARE,103.0,0.0
21408,2013-01-13,MEATS,131.269,0.0
21409,2013-01-13,PERSONAL CARE,61.0,0.0
23190,2013-01-14,MEATS,311.573,0.0
23191,2013-01-14,PERSONAL CARE,84.0,0.0
24972,2013-01-15,MEATS,287.346,0.0
24973,2013-01-15,PERSONAL CARE,95.0,0.0
26754,2013-01-16,MEATS,369.492,0.0
26755,2013-01-16,PERSONAL CARE,118.0,0.0
28536,2013-01-17,MEATS,280.879,0.0
28537,2013-01-17,PERSONAL CARE,100.0,0.0
30318,2013-01-18,MEATS,519.204,0.0
30319,2013-01-18,PERSONAL CARE,69.0,0.0
32100,2013-01-19,MEATS,284.484,0.0
32101,2013-01-19,PERSONAL CARE,92.0,0.0
