date,family,sales,onpromotion
2013-01-01,MEATS,0.0,0.0
2013-01-01,PERSONAL CARE,0.0,0.0
2013-01-02,MEATS,369.101,0.0
2013-01-02,PERSONAL CARE,194.0,0.0
2013-01-03,MEATS,272.319,0.0
2013-01-03,PERSONAL CARE,153.0,0.0
2013-01-04,MEATS,454.172,0.0
2013-01-04,PERSONAL CARE,88.0,0.0
2013-01-05,MEATS,328.94,0.0
2013-01-05,PERSONAL CARE,141.0,0.0
2013-01-06,MEATS,113.282,0.0
2013-01-06,PERSONAL CARE,49.0,0.0
2013-01-07,MEATS,266.72,0.0
2013-01-07,PERSONAL CARE,154.0,0.0
2013-01-08,MEATS,393.51,0.0
2013-01-08,PERSONAL CARE,119.0,0.0
2013-01-09,MEATS,390.15298,0.0
2013-01-09,PERSONAL CARE,190.0,0.0
2013-01-10,MEATS,246.035,0.0
2013-01-10,PERSONAL CARE,110.0,0.0
2013-01-11,MEATS,458.241,0.0
2013-01-11,PERSONAL CARE,81.0,0.0
2013-01-12,MEATS,260.07098,0.0
2013-01-12,PERSONAL CARE,103.0,0.0
2013-01-13,MEATS,131.269,0.0
2013-01-13,PERSONAL CARE,61.0,0.0
2013-01-14,MEATS,311.573,0.0
2013-01-14,PERSONAL CARE,84.0,0.0
2013-01-15,MEATS,287.346,0.0
2013-01-15,PERSONAL CARE,95.0,0.0
2013-01-16,MEATS,369.492,0.0
2013-01-16,PERSONAL CARE,118.0,0.0
2013-01-17,MEATS,280.879,0.0
2013-01-17,PERSONAL CARE,100.0,0.0
2013-01-18,MEATS,519.204,0.0
2013-01-18,PERSONAL CARE,69.0,0.0
2013-01-19,MEATS,284.484,0.0
2013-01-19,PERSONAL CARE,92.0,0.0
2013-01-20,MEATS,108.286,0.0
2013-01-20,PERSONAL CARE,48.0,0.0
2013-01-21,MEATS,274.88602,0.0
2013-01-21,PERSONAL CARE,89.0,0.0
2013-01-22,MEATS,274.261,0.0
2013-01-22,PERSONAL CARE,90.0,0.0
2013-01-23,MEATS,312.199,0.0
2013-01-23,PERSONAL CARE,103.0,0.0
2013-01-24,MEATS,215.607,0.0
2013-01-24,PERSONAL CARE,89.0,0.0
2013-01-25,MEATS,507.85,0.0
2013-01-25,PERSONAL CARE,73.0,0.0
2013-01-26,MEATS,274.442,0.0
2013-01-26,PERSONAL CARE,117.0,0.0
2013-01-27,MEATS,267.816,0.0
2013-01-27,PERSONAL CARE,42.0,0.0
2013-01-28,MEATS,325.072,0.0
2013-01-28,PERSONAL CARE,107.0,0.0
2013-01-29,MEATS,260.633,0.0
2013-01-29,PERSONAL CARE,91.0,0.0
2013-01-30,MEATS,304.018,0.0
2013-01-30,PERSONAL CARE,98.0,0.0
2013-01-31,MEATS,264.937,0.0
2013-01-31,PERSONAL CARE,122.0,0.0
2013-02-01,MEATS,529.172,0.0
2013-02-01,PERSONAL CARE,112.0,0.0
2013-02-02,MEATS,253.804,0.0
2013-02-02,PERSONAL CARE,103.0,0.0
2013-02-03,MEATS,130.015,0.0
2013-02-03,PERSONAL CARE,52.0,0.0
2013-02-04,MEATS,305.111,0.0
2013-02-04,PERSONAL CARE,85.0,0.0
2013-02-05,MEATS,229.85,0.0
2013-02-05,PERSONAL CARE,83.0,0.0
2013-02-06,MEATS,338.001,0.0
2013-02-06,PERSONAL CARE,130.0,0.0
2013-02-07,MEATS,267.696,0.0
2013-02-07,PERSONAL CARE,78.0,0.0
2013-02-08,MEATS,511.773,0.0
2013-02-08,PERSONAL CARE,87.0,0.0
2013-02-09,MEATS,282.407,0.0
2013-02-09,PERSONAL CARE,89.0,0.0
